Transaction_ID,Transaction_Amount,Transaction_Date,Transaction_Time,Payment_Method,Device_Used,IP_Address,Is_Fraudulent,Product_Id,Customer ID
15d2e414-8735-46fc-9e02-80b472b2580f,58.09,2020-02-20,05:58:41,bank transfer,tablet,212.195.49.198,0,10101,100
0bfee1a0-6d5e-40da-a446-d04e73b1b177,389.96,2025-02-20,08:09:45,debit card,desktop,208.106.249.121,0,10201,101
e588eef4-b754-468e-9d90-d0e0abfc1af0,134.19,2018-03-20,03:42:55,PayPal,tablet,76.63.88.212,0,10301,102
4de46e52-60c3-49d9-be39-636681009789,226.17,2016-03-20,20:41:31,bank transfer,desktop,207.208.171.73,0,10401,103
074a76de-fe2d-443e-a00c-f044cdb68e21,121.53,2015-01-20,05:08:17,bank transfer,tablet,190.172.14.169,0,10501,104
4e707452-7c8a-4cbd-b0c1-2aeaa35c5e88,166.41,1930-01-20,10:55:14,bank transfer,tablet,202.237.29.55,0,10601,105
7ed952fe-8ae1-4f11-8cc5-6607060240d8,92.88,2004-02-20,19:59:10,PayPal,tablet,13.45.27.192,0,10701,106
0b2fb5aa-7171-472f-8269-371094608a07,318.14,2020-02-20,13:30:29,credit card,desktop,131.141.230.185,0,10801,107
1f52366c-7f40-4397-885f-3856b6e6531c,47.92,2003-03-20,19:44:00,bank transfer,desktop,210.148.17.240,0,10901,108
3f10dfde-9c4c-4085-9872-4f6b39502ffb,121.78,2016-01-20,21:19:39,bank transfer,mobile,174.32.252.238,0,11001,109
75f19b14-516c-4f1c-a99e-f1c456453b55,633.39,2020-01-20,22:11:22,PayPal,tablet,201.188.209.214,0,11101,110
0dae14e6-aca5-48b4-8853-51188d3e9d9c,56.31,2016-02-20,21:08:15,PayPal,tablet,81.95.103.200,0,11201,111
fb09ac9b-8c76-4caf-9973-c79563a186c2,275.87,2015-02-20,11:45:52,credit card,mobile,105.173.82.111,0,11301,112
3a25fa55-ec25-4b47-bb3a-21fd7b2a4833,178.94,2029-01-20,15:55:08,debit card,mobile,211.46.251.245,0,11401,113
c696ffee-f01d-4447-b0d4-45fcbca65d13,374.04,2014-02-20,13:31:00,bank transfer,tablet,25.126.229.2,0,11501,114
e3ac696e-978c-43c9-a659-6e1a93289b28,169.04,2004-03-20,10:10:58,debit card,tablet,1.199.155.117,0,11601,115
e3c1a8ee-6455-4a39-a4b0-6f3be08c56a8,254.48,2008-01-20,08:26:25,bank transfer,desktop,52.160.5.136,0,11701,116
08ded43b-24bf-4001-925e-fd7ce210baa8,266.06,2026-01-20,14:29:25,debit card,tablet,194.26.237.2,0,11801,117
0c0345fa-406b-4064-8e57-750ea3b0ea41,263.28,2007-03-20,22:58:45,debit card,tablet,166.131.101.195,0,11901,118
8501d4c2-10e4-4aea-88bc-10b2a168cb28,475.76,2017-01-20,10:58:52,PayPal,mobile,196.101.90.48,0,12001,119
4b798a5c-8400-439f-8e2c-491902645751,89.38,2007-02-20,02:13:55,credit card,mobile,82.111.15.220,0,12101,120
0293493e-7c4f-4b2e-bcb0-838f380e9321,264.24,2016-01-20,07:04:42,credit card,mobile,201.24.228.3,0,12201,121
402da312-6957-47a7-b513-40eb4a1c614e,123.35,2002-04-20,19:54:47,debit card,desktop,199.73.51.223,0,12301,122
77f985cd-261c-40c9-a2f9-b107491cddc9,199.02,2027-01-20,02:56:50,debit card,tablet,165.239.47.50,0,12401,123
bf43217a-c0d3-4e77-bb23-7eb77c44d1b9,675.74,2016-03-20,10:22:06,bank transfer,desktop,40.225.6.79,0,12501,124
b4c3e417-6627-449d-9923-8e554060a164,352.67,2012-01-20,23:25:02,bank transfer,mobile,132.248.133.78,0,12601,125
0b5286d8-853b-4276-b3b5-7b20c309c2e3,53.73,2015-03-20,14:11:33,bank transfer,mobile,103.23.100.105,0,12701,126
39b77e1a-f7aa-4281-b04c-8c401dc1b2b3,21.24,2013-01-20,19:36:49,debit card,desktop,89.25.29.96,0,12801,127
66eecfd6-fa41-4c3b-bab3-07c76ad7d798,118.83,2006-02-20,22:06:46,debit card,mobile,66.205.254.110,0,12901,128
1b46cabd-fa15-47b7-91aa-f61e7c2724c1,267.12,2009-03-20,00:04:37,credit card,tablet,123.118.78.180,0,13001,129
74118581-84a5-477e-80de-4c795dc8af25,153.05,1931-01-20,03:10:38,debit card,mobile,94.151.244.55,0,13101,130
bb26a794-4d18-4ef4-9010-b26dc36f9ad0,615.52,2009-02-20,16:59:12,credit card,mobile,190.153.209.188,0,13201,131
